probe,coef_verify,significant,null
ENSG00000117143,0.2811747975720361,Yes,FALSE
ENSG00000153956,0.5366268415379299,Yes,FALSE
ENSG00000215021,0.22476927752717776,Yes,FALSE
ENSG00000091127,0.3596547650422845,Yes,FALSE
ENSG00000148926,0.8883151533417147,Yes,FALSE
ENSG00000172824,-0.4950997690581846,Yes,FALSE
ENSG00000139343,0.2945147145932365,Yes,FALSE
ENSG00000186625,0.2310416059194799,Yes,FALSE
ENSG00000139324,0.359036663387952,Yes,FALSE
ENSG00000111801,-0.33587236894179207,Yes,FALSE
ENSG00000198488,-1.7701858474034542,Yes,FALSE
ENSG00000123485,0.6210478385874169,Yes,FALSE
ENSG00000105289,-0.7206926386596716,Yes,FALSE
ENSG00000110841,0.32074816736033934,Yes,FALSE
ENSG00000158417,0.20423862111328106,Yes,FALSE
ENSG00000123908,0.2999981211991856,Yes,FALSE
ENSG00000100410,0.2504892458430534,Yes,FALSE
ENSG00000105835,0.47309742896361257,Yes,FALSE
ENSG00000117114,0.4315876684411379,Yes,FALSE
ENSG00000215105,-0.5104741359338533,Yes,FALSE
ENSG00000103274,-0.23973985894786962,Yes,FALSE
ENSG00000119335,0.2198556534039854,Yes,FALSE
ENSG00000163558,0.27906874848052693,Yes,FALSE
ENSG00000080371,0.27518883605599775,Yes,FALSE
ENSG00000026950,-0.3517746756675156,Yes,FALSE
ENSG00000051341,0.6566977671367678,Yes,FALSE
ENSG00000143067,0.3408050936487128,Yes,FALSE
ENSG00000108848,-0.2468433404278721,Yes,FALSE
ENSG00000123349,0.15487884986493333,Yes,FALSE
ENSG00000167553,0.3505270951789786,Yes,FALSE
ENSG00000065548,0.19114478211574837,Yes,FALSE
ENSG00000152377,0.8884441145204964,Yes,FALSE
ENSG00000177106,-0.48690212660756227,Yes,FALSE
ENSG00000148702,-1.4790517023094483,Yes,FALSE
ENSG00000090104,-0.457028954068889,Yes,FALSE
ENSG00000275410,-1.1630917353614771,Yes,FALSE
ENSG00000244754,-0.21107723882220794,Yes,FALSE
ENSG00000055163,-0.4155261565171299,Yes,FALSE
ENSG00000138434,0.3206065189193503,Yes,FALSE
ENSG00000111674,0.44296441262144165,Yes,FALSE
ENSG00000006831,0.2226382361500612,Yes,FALSE
ENSG00000126787,0.618955359187526,Yes,FALSE
ENSG00000179241,0.41703383905555774,Yes,FALSE
ENSG00000105821,0.25381804070119396,Yes,FALSE
ENSG00000168918,-0.397342790677185,Yes,FALSE
ENSG00000143545,0.19670933132818483,Yes,FALSE
ENSG00000157404,-0.7718632263013279,Yes,FALSE
ENSG00000169045,-0.21940514905437747,Yes,FALSE
ENSG00000144867,0.2683036250802262,Yes,FALSE
ENSG00000243649,-0.6761245442718669,Yes,FALSE
ENSG00000131791,0.2713231303515281,Yes,FALSE
